method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
DRESSLER_II_joint,5,0.5,0.4999938461538461,0.002611452851585726,0.68,DRESSLER,0.04411764705882353
DRESSLER_II_joint,10,0.4996923076923077,0.5013128205128204,0.00889204151850766,0.75,DRESSLER,0.04411764705882353
DRESSLER_II_joint,16,0.5,0.49979897435897436,0.0013989322499114126,0.37,DRESSLER,0.04411764705882353
DRESSLER_DII_L1,3,0.5,0.501028717948718,0.009932436637975089,0.82,DRESSLER,0.04411764705882353
DRESSLER_DII_L1,5,0.5,0.4999938461538461,0.002611452851585726,0.68,DRESSLER,0.04411764705882353
DRESSLER_DII_L1,10,0.4996923076923077,0.5013128205128204,0.00889204151850766,0.75,DRESSLER,0.04411764705882353
DRESSLER_DII_L1,16,0.49846153846153846,0.49979897435897436,0.0013989322499114126,0.97,DRESSLER,0.04411764705882353
ZSN_MI_perfeat,3,0.6199481502786826,0.5116651184303604,0.028455066640855033,0.0,ZSN,0.23176470588235293
ZSN_MI_perfeat,5,0.6181543986753835,0.5116550322214536,0.026851265232395668,0.0,ZSN,0.23176470588235293
ZSN_MI_perfeat,10,0.5711923103831593,0.5205729899487721,0.02972223581302457,0.11,ZSN,0.23176470588235293
ZSN_MI_perfeat,16,0.5486547834671683,0.5238616576363679,0.027317663409312295,0.19,ZSN,0.23176470588235293
ZSN_II_perfeat,3,0.5,0.5116651184303604,0.028455066640855033,0.72,ZSN,0.23176470588235293
ZSN_II_perfeat,5,0.5008861871409582,0.5116550322214536,0.026851265232395668,0.64,ZSN,0.23176470588235293
ZSN_II_perfeat,10,0.5055794808809011,0.5205729899487721,0.02972223581302457,0.64,ZSN,0.23176470588235293
ZSN_II_perfeat,16,0.5005033387489214,0.5238616576363679,0.027317663409312295,0.86,ZSN,0.23176470588235293
ZSN_II_joint,3,0.5062305174866488,0.5116651184303604,0.028455066640855033,0.38,ZSN,0.23176470588235293
ZSN_II_joint,5,0.5153975015741482,0.5116550322214536,0.026851265232395668,0.24,ZSN,0.23176470588235293
ZSN_II_joint,10,0.5525046447089186,0.5205729899487721,0.02972223581302457,0.13,ZSN,0.23176470588235293
ZSN_II_joint,16,0.5338519601060315,0.5238616576363679,0.027317663409312295,0.25,ZSN,0.23176470588235293
ZSN_DII_L1,3,0.6090943011947979,0.5116651184303604,0.028455066640855033,0.05,ZSN,0.23176470588235293
ZSN_DII_L1,5,0.6113700142256357,0.5116550322214536,0.026851265232395668,0.01,ZSN,0.23176470588235293
ZSN_DII_L1,10,0.5952476271173265,0.5205729899487721,0.02972223581302457,0.06,ZSN,0.23176470588235293
ZSN_DII_L1,16,0.5930924044433734,0.5238616576363679,0.027317663409312295,0.0,ZSN,0.23176470588235293
REC_IM_MI_perfeat,3,0.5077116468518769,0.5017218052477563,0.009349875488677977,0.08,REC_IM,0.09352941176470589
REC_IM_MI_perfeat,5,0.512478624106702,0.5015163926062877,0.00841843743136126,0.04,REC_IM,0.09352941176470589
REC_IM_MI_perfeat,10,0.5227859880254184,0.5024708287928692,0.006535698465312499,0.01,REC_IM,0.09352941176470589
